Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,743,297,32990
Acer,Acer Aspire,Intel Core i3,11th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Silver,4,1812,125,42990
DELL,DELL Inspiron,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1942,299,35990
HP,HP Backlit Intel Core i,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1000,198,49990
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.2,1429,126,52990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.3,540,188,49990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1921,245,76190
DELL,DELL Inspiron,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,1417,281,42490
MSI,MSI Modern,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,355,100,44990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.3,1693,288,32990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.3,919,339,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Grey,4.2,1931,202,36990
ASUS,ASUS Vivobook,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,251,230,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Grey,4.3,838,346,40990
HP,HP Victus Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,893,295,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i7,13th Gen,Windows 11 Operating System,24 GB,512,39.62,2,Blue,4.5,339,140,85690
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Black,4.7,1618,264,102990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,599,150,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.5,1536,107,119990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Grey,4.3,1624,137,36990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.4,1381,213,55990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.5,1859,182,75990
Acer,Acer Aspire,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1312,155,67990
ASUS,ASUS TUF Gaming F,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,43.94,1,Silver,4.3,1158,274,57990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Metallic Black,4.4,408,317,104990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1856,202,32990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Metallic Black,4.1,1208,237,49690
MSI,MSI Crosshair,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.1,561,201,140990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,1514,177,53990
Acer,Acer Aspire,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.2,694,276,29990
Acer,Acer One Intel Core i,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.2,547,268,28990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.3,1201,182,49990
ASUS,ASUS Vivobook,Intel Celeron Dual,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.3,285,129,36990
Acer,Acer Swift Go,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,1357,104,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Metallic Black,4.7,1725,218,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.5,1658,322,61990
MSI,MSI Katana,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,39.62,2,Blue,4.2,1445,298,102990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.4,1649,310,76190
HP,HP,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1958,130,32490
HP,HP,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Blue,4.3,1635,279,34990
Acer,Acer Aspire,Intel Core i7,14th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,1140,330,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,390,315,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,1136,325,47990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1391,348,47990
Apple,Apple MacBook AIR Apple M,Intel Core i3,11th Gen,Mac OS Operating System,8 GB,256,34.54,2,Silver,4.7,1550,122,84990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i7,13th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Metallic Black,4.5,975,147,85690
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1493,208,32990
Acer,Acer Aspire,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,2,Black,4,1299,139,42990
DELL,DELL Inspiron,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,770,105,35990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,259,137,49990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.2,1233,268,52990
MSI,MSI Thin,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.3,627,199,49990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1906,126,76190
DELL,DELL Inspiron,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1910,302,42490
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,931,168,44990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,833,156,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.3,401,116,47990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Blue,4.2,969,343,36990
ASUS,ASUS Vivobook,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1322,170,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,2,Grey,4.3,1427,318,40990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,1108,146,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Blue,4.5,1566,348,85690
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Metallic Black,4.7,1853,178,102990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,299,209,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Grey,4.5,780,238,119990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Grey,4.3,1885,223,36990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.4,1333,208,55990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.5,1440,189,75990
Acer,Acer Aspire,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,1475,185,67990
ASUS,ASUS TUF Gaming F,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,43.94,2,Grey,4.3,1106,191,57990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.4,395,123,104990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.2,1164,320,32990
MSI,MSI Crosshair,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Grey,4.1,1949,172,140990
MSI,MSI Thin,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,1242,333,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.2,1712,103,53990
Acer,Acer Aspire,Intel Celeron Dual,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.2,491,212,29990
Acer,Acer One Intel Core i,Intel Core i7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.2,830,145,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.1,936,347,49690
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.3,1834,117,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,732,142,59990
Apple,Apple MacBook AIR Apple M,Intel Core i7,13th Gen,Mac OS Operating System,8 GB,256,34.54,2,Metallic Black,4.7,1381,307,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.5,1499,260,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,922,192,76190
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,880,202,32990
HP,HP,Intel Core i7,14th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,910,223,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Black,4.3,911,109,34990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1054,286,61990
MSI,MSI Thin,Intel Core i3,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.3,1928,130,47990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Grey,4.5,668,255,85690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,1237,159,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,13th Gen,Mac OS Operating System,8 GB,256,34.54,2,Metallic Black,4.7,1728,348,84990
HP,HP Omen AMD Ryzen,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,1,40.89,1,Grey,4.7,1433,230,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.5,1796,217,119990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Silver,4,899,282,42990
DELL,DELL Inspiron,AMD Ryzen 3,10th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1218,113,35990
HP,HP Backlit Intel Core i,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,839,285,49990
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.2,1350,316,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.1,758,242,49690
Lenovo,Lenovo LOQ Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.4,690,101,76190
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1527,123,42490
MSI,MSI Modern,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,1170,305,44990
MSI,MSI Modern,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.3,1019,163,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.3,1593,339,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Metallic Black,4.2,512,298,36990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1870,199,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1931,213,40990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.4,1827,123,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Metallic Black,4.5,1647,254,85690
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Blue,4.7,886,264,102990
HP,HP Victus Intel Core i,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,1440,329,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.5,1248,190,119990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.3,1553,266,36990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.4,949,290,55990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,551,306,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.5,1804,125,75990
Acer,Acer Aspire,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,1853,164,67990
Acer,Acer Predator Neo Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.4,1491,219,104990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,1375,103,32990
MSI,MSI Crosshair,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.1,803,256,140990
MSI,MSI Thin,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,537,348,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.2,1440,100,53990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Silver,4.2,870,334,29990
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.2,1255,149,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.1,285,209,49690
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,993,313,36990
Acer,Acer Swift Go,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,602,238,59990
Apple,Apple MacBook AIR Apple M,Intel Core i3,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Black,4.7,1949,173,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i7,14th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.5,322,286,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,897,161,76190
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,1626,180,32990
HP,HP,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,1343,263,32490
HP,HP,Intel Core i3,11th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Black,4.3,674,155,34990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,957,317,61990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.3,810,339,47990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,13th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Black,4.5,1077,120,85690
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1915,240,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,2,Silver,4.7,1205,108,84990
HP,HP Omen AMD Ryzen,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Metallic Black,4.7,766,238,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Black,4.5,677,302,119990
Acer,Acer Aspire,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,2,Silver,4,1812,169,42990
DELL,DELL Inspiron,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,409,228,35990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,398,217,49990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,1025,297,52990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.1,1503,304,49690
Lenovo,Lenovo LOQ Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.4,1985,313,76190
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1835,155,42490
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,316,130,44990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,1263,313,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,630,136,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Metallic Black,4.2,307,274,36990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1532,190,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Black,4.3,591,213,40990
HP,HP Victus Intel Core i,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1403,343,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i3,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Blue,4.5,976,305,85690
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Silver,4.7,1445,227,102990
HP,HP Victus Intel Core i,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.3,1019,274,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.5,1482,168,119990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.3,603,285,36990
HP,HP Victus Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.4,1744,135,55990
MSI,MSI Thin,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,365,131,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.5,1537,325,75990
Acer,Acer Aspire,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,911,163,67990
Acer,Acer Predator Neo Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.4,1715,298,104990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1821,269,32990
MSI,MSI Crosshair,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.1,702,147,140990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1750,301,49990
HP,HP Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.2,536,341,53990
Acer,Acer Aspire,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.2,1576,180,29990
Acer,Acer One Intel Core i,Intel Core i7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,1266,257,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.1,560,248,49690
ASUS,ASUS Vivobook,Intel Core i7,14th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.3,457,159,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,867,240,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Grey,4.7,695,100,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.5,919,164,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.4,882,338,76190
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,304,132,32990
HP,HP,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,1161,137,32490
HP,HP,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Blue,4.3,1285,124,34990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.4,1673,304,61990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.3,1921,158,47990
Lenovo,Lenovo LOQ AMD Ryzen,AMD Ryzen 3,10th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Grey,4.5,1229,319,85690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,764,260,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,13th Gen,Mac OS Operating System,8 GB,256,34.54,2,Metallic Black,4.7,1929,200,84990
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Blue,4.7,1815,226,102990
Acer,Acer Predator Neo Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Silver,4.5,486,140,119990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Black,4,1552,257,42990
DELL,DELL Inspiron,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,597,156,35990
HP,HP Backlit Intel Core i,Intel Core i7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,876,276,49990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.2,1377,147,52990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,879,171,32990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.1,1790,276,49690
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.2,1521,274,42490
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,613,155,44990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,570,164,76190
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.3,1906,111,47990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Grey,4.2,535,168,36990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,398,315,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Silver,4.3,1357,233,40990
