Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
ASUS,ASUS TUF Gaming F,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.6,1207,243,100990
MSI,MSI Crosshair,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Grey,4.1,936,304,140990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,1207,138,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,812,260,53990
ASUS,ASUS Vivobook,Intel Core i3,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.3,1840,253,36990
Acer,Acer Aspire,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.2,1517,275,29990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.1,1081,292,49690
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.2,1778,340,28990
Acer,Acer Swift Go,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.3,1404,265,59990
Apple,Apple MacBook AIR Apple M,AMD Ryzen 3,10th Gen,Mac OS Operating System,8 GB,256,34.54,1,Black,4.7,1758,229,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.5,896,212,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,270,233,76190
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,1090,145,32990
HP,HP,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,416,149,32490
HP,HP,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Metallic Black,4.3,1547,265,34990
ASUS,ASUS Vivobook,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,637,205,47990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.3,565,245,47990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Blue,4.5,263,254,85690
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,491,268,61990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,2,Blue,4.7,1026,171,84990
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,1,Metallic Black,4.7,1619,319,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.5,814,173,119990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1147,116,49990
Acer,Acer Aspire,AMD Ryzen 5,11th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Blue,4,1613,346,42990
DELL,DELL Inspiron,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,341,289,35990
